ID,State,ParliamentCode,Parliament,Malay,Chinese,Indian,Registered,Total,Turnout,Year,Coalition,Party,Candidate,SpoilerPAS,Winner,Votes,VoteShare,Majority,Margin,ChangeMalay,ChangeChinese,ChangeRegistered,ChangeTotal,ChangeTurnout,ChangeWinner,ChangeMajority,ChangeMargin,ChangeVoteShare,Parties,Rank,WastedVotes
15,Kedah,P15,Sungai Petani,0.61,0.27,0.12,112577,92534,0.8219618572177265,2018,BN,UMNO,Shahanim Binti Mohamad Yusoff,1,0,23963,0.258964272591696,-21569,-0.23309270106123156,0.020000000000000018,-0.019999999999999962,19401,12722,-0.03461065072423275,0,-12021,-0.11346156789829867,-0.17513085094862374,4,2,23963
15,Kedah,P15,Sungai Petani,0.59,0.29,0.12,93176,79812,0.8565725079419593,2013,IND,IND,Ong Wei Sin,0,0,772,0.009672730917656493,-43422,-0.5440535257855962,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,772
15,Kedah,P15,Sungai Petani,0.59,0.29,0.12,93176,79812,0.8565725079419593,2013,KITA,KITA,Suhaimi Bin Hashim,0,0,200,0.002505888838771112,-43994,-0.5512203678644816,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,200
15,Kedah,P15,Sungai Petani,0.59,0.29,0.12,93176,79812,0.8565725079419593,2013,Pakatan,PKR,Johari Bin Abdul,0,1,44194,0.5537262567032526,9548,0.11963113316293289,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,24241
15,Kedah,P15,Sungai Petani,0.61,0.27,0.12,112577,92534,0.8219618572177265,2018,Pakatan,PKR,Johari Bin Abdul,1,1,45532,0.49205697365292755,21569,0.23309270106123156,0.020000000000000018,-0.019999999999999962,19401,12722,-0.03461065072423275,0,12021,0.11346156789829867,-0.06166928305032504,4,1,22398.5
15,Kedah,P15,Sungai Petani,0.61,0.27,0.12,112577,92534,0.8219618572177265,2018,PAS,PAS,Sharir Bin Long,1,0,22760,0.2459636457950591,-22772,-0.24609332785786847,0.020000000000000018,-0.019999999999999962,19401,12722,-0.03461065072423275,NA,NA,NA,NA,4,3,22760
15,Kedah,P15,Sungai Petani,0.61,0.27,0.12,112577,92534,0.8219618572177265,2018,PRM,PRM,Sritharan A/L Pichathu,1,0,279,0.0030151079603172887,-45253,-0.48904186569261027,0.020000000000000018,-0.019999999999999962,19401,12722,-0.03461065072423275,NA,NA,NA,NA,4,4,279
16,Kedah,P16,Baling,0.89,0.05,0.05,93168,81823,0.8782307229950197,2013,BN,UMNO,Abdul Azeez Bin Abdul Rahim,0,1,43504,0.5316842452611124,5185,0.0633684905222248,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2592.5
16,Kedah,P16,Baling,0.89,0.04,0.05,107213,90512,0.8442259800583884,2018,BN,UMNO,Abdul Azeez Bin Abdul Rahim,1,1,38557,0.4259877143362206,1074,0.011865829945200636,0,-0.010000000000000002,14045,8689,-0.03400474293663125,0,-4111,-0.05150266057702417,-0.10569653092489173,3,1,8386.333333333332
16,Kedah,P16,Baling,0.89,0.05,0.05,93168,81823,0.8782307229950197,2013,Pakatan,PAS,Najmi Bin Hj Ahmad,0,0,38319,0.4683157547388876,-5185,-0.0633684905222248,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,38319
