ID,Year,State,Parliament,ParliamentCode,Registered,Malay,Chinese,Indian,Party,Candidate,Votes
43,2018,PN,Bagan,P43,71583,0.13,0.71,0.15,PCM,Huan Cheng Guan,502
43,2018,PN,Bagan,P43,71583,0.13,0.71,0.15,MU,Koay Xing Boon,181
43,2013,PN,Bagan,P43,68503,0.15,0.7,0.15,DAP,Lim Guan Eng,46466
43,2013,PN,Bagan,P43,68503,0.15,0.7,0.15,MCA,Chua Teik Siang,12307
43,2013,PN,Bagan,P43,68503,0.15,0.7,0.15,PCM,Lim Kim Chu,328
43,2013,PN,Bagan,P43,68503,0.15,0.7,0.15,IND,-Test Aizu 3- Will Remove By 15 March 2018,1
43,2013,PN,Bagan,P43,68503,0.15,0.7,0.15,IND,-Test Aizu 4- Will Remove By 15 March 2018,1
44,2018,PN,Permatang Pauh,P44,81789,0.72,0.21,0.06,PKR,Nurul Izzah Binti Anwar,35534
44,2018,PN,Permatang Pauh,P44,81789,0.72,0.21,0.06,UMNO,Mohd Zaidi Bin Mohd Said,19866
44,2018,PN,Permatang Pauh,P44,81789,0.72,0.21,0.06,PAS,Afnan Hamimi Bin Taib Azamudden,14428
44,2013,PN,Permatang Pauh,P44,71699,0.7,0.23,0.06,PKR,Anwar Bin Ibrahim,37090
44,2013,PN,Permatang Pauh,P44,71699,0.7,0.23,0.06,UMNO,Mazlan Bin Ismail,25369
44,2013,PN,Permatang Pauh,P44,71699,0.7,0.23,0.06,IND,Abdullah Zawawi Bin Samsudin,201
45,2018,PN,Bukit Mertajam,P45,88998,0.19,0.7,0.1,DAP,Sim Chee Keong,63784
45,2018,PN,Bukit Mertajam,P45,88998,0.19,0.7,0.1,MCA,Gui Guat Lye,10907
